date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:35	41439/41439	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-3.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-3.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:35	41500/41500	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-3-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-3-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:35	49861/49861	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-4.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-4.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:36	50432/50432	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-4-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-4-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:36	51066/51066	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-5.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-5.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:37	51217/51217	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-5-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-5-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:37	42615/42615	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-6.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-6.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:38	42776/42776	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-6-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-6-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:38	53943/53943	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-detail-1.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-detail-1.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:39	53262/53262	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-detail-1-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-detail-1-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:39	59995/59995	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-detail-2.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-detail-2.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:39	48465/48465	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/blog-detail-2-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/blog-detail-2-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:40	2138/2138	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2006:29:20%20GMT	https://uiparadox.co.uk/templates/drax/demo/assets/media/logo-dark.png	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/assets/media/logo-dark.png	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:40	12186/12186	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2006:29:20%20GMT	https://uiparadox.co.uk/templates/drax/demo/assets/media/bg-image/logo-bg.png	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/assets/media/bg-image/logo-bg.png	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:41	48326/48326	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-1.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-1.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:41	49216/49216	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-1-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-1-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:41	41401/41401	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-2.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-2.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:42	41526/41526	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-2-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-2-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:42	47670/47670	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-3.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-3.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
02:17:43	47814/47814	---M-Z	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2005:52:55%20GMT	https://uiparadox.co.uk/templates/drax/demo/contact-3-dark.html	C:/Users/pHP/Desktop/New%20folder/drax/uiparadox.co.uk/templates/drax/demo/contact-3-dark.html	(from https://uiparadox.co.uk/templates/drax/demo/index-6-dark.html)
